,User,Location,Tweet,Tweet_clean,Tweet_token,Tweet_nonstop
24,MattReports,Toronto,So whats the point in getting the first dose then if you have to wait way over the 28 day period This is such a mess,So whats the point in getting the first dose then if you have to wait way over the day period This is such a mess,"['so', 'whats', 'the', 'point', 'in', 'getting', 'the', 'first', 'dose', 'then', 'if', 'you', 'have', 'to', 'wait', 'way', 'over', 'the', 'day', 'period', 'this', 'is', 'such', 'a', 'mess']","['whats', 'point', 'getting', 'first', 'dose', 'wait', 'way', 'day', 'period', 'mess']"
25,SailorOkoye,"Charlotte, NC",I are go just be standing on the wall looking angry whats the point,I are go just be standing on the wall looking angry whats the point,"['i', 'are', 'go', 'just', 'be', 'standing', 'on', 'the', 'wall', 'looking', 'angry', 'whats', 'the', 'point']","['go', 'standing', 'wall', 'looking', 'angry', 'whats', 'point']"
26,DanVMaul,,No I think he on so often because he the rot corruption and evil in the Democratic Party which of course is not the left In doing so however he also the real left very well because he clearly your point,No I think he on so often because he the rot corruption and evil in the Democratic Party which of course is not the left In doing so however he also the real left very well because he clearly your point,"['no', 'i', 'think', 'he', 'on', 'so', 'often', 'because', 'he', 'the', 'rot', 'corruption', 'and', 'evil', 'in', 'the', 'democratic', 'party', 'which', 'of', 'course', 'is', 'not', 'the', 'left', 'in', 'doing', 'so', 'however', 'he', 'also', 'the', 'real', 'left', 'very', 'well', 'because', 'he', 'clearly', 'your', 'point']","['think', 'often', 'rot', 'corruption', 'evil', 'democratic', 'party', 'course', 'left', 'however', 'also', 'real', 'left', 'well', 'clearly', 'point']"
27,4EvrWalkinAlone,Sudan,kapy1994 Do you know whats the selling point of the new gen graphics and Whats the main new technology,kapy1994 Do you know whats the selling point of the new gen graphics and Whats the main new technology,"['kapy1994', 'do', 'you', 'know', 'whats', 'the', 'selling', 'point', 'of', 'the', 'new', 'gen', 'graphics', 'and', 'whats', 'the', 'main', 'new', 'technology']","['kapy1994', 'know', 'whats', 'selling', 'point', 'new', 'gen', 'graphics', 'whats', 'main', 'new', 'technology']"
28,bmbrammer,"Raleigh, NC",LittleOlMe97 How in the world does removing a man who had a 5 second cameo in a 1990s film remedy anything Whats the point already in the movie been to make an appearance and the film doesnt suffer because of his is purely virtue Nothing more or less,LittleOlMe97 How in the world does removing a man who had a second cameo in a s film remedy anything Whats the point already in the movie been to make an appearance and the film doesnt suffer because of his is purely virtue Nothing more or less,"['littleolme97', 'how', 'in', 'the', 'world', 'does', 'removing', 'a', 'man', 'who', 'had', 'a', 'second', 'cameo', 'in', 'a', 's', 'film', 'remedy', 'anything', 'whats', 'the', 'point', 'already', 'in', 'the', 'movie', 'been', 'to', 'make', 'an', 'appearance', 'and', 'the', 'film', 'doesnt', 'suffer', 'because', 'of', 'his', 'is', 'purely', 'virtue', 'nothing', 'more', 'or', 'less']","['littleolme97', 'world', 'removing', 'man', 'second', 'cameo', 'film', 'remedy', 'anything', 'whats', 'point', 'already', 'movie', 'make', 'appearance', 'film', 'doesnt', 'suffer', 'purely', 'virtue', 'nothing', 'less']"
29,Trillasaurus,#OT4GANG ,with Snow Drop too Whats going on man They are feeding us the whole buffet at this point,with Snow Drop too Whats going on man They are feeding us the whole buffet at this point,"['with', 'snow', 'drop', 'too', 'whats', 'going', 'on', 'man', 'they', 'are', 'feeding', 'us', 'the', 'whole', 'buffet', 'at', 'this', 'point']","['snow', 'drop', 'whats', 'going', 'man', 'feeding', 'us', 'whole', 'buffet', 'point']"
30,6ft160ibs,Stolen Tohono O’odham Land,whats so weird to me is that this sort of view is usually by who otherwise shame sexual activity but also is the whole point for them glad out of the belt,whats so weird to me is that this sort of view is usually by who otherwise shame sexual activity but also is the whole point for them glad out of the belt,"['whats', 'so', 'weird', 'to', 'me', 'is', 'that', 'this', 'sort', 'of', 'view', 'is', 'usually', 'by', 'who', 'otherwise', 'shame', 'sexual', 'activity', 'but', 'also', 'is', 'the', 'whole', 'point', 'for', 'them', 'glad', 'out', 'of', 'the', 'belt']","['whats', 'weird', 'sort', 'view', 'usually', 'otherwise', 'shame', 'sexual', 'activity', 'also', 'whole', 'point', 'glad', 'belt']"
31,ross109b,,The government already the wage this would be increasing said wage the whole free market been a Republican talking point forever whats the problem,The government already the wage this would be increasing said wage the whole free market been a Republican talking point forever whats the problem,"['the', 'government', 'already', 'the', 'wage', 'this', 'would', 'be', 'increasing', 'said', 'wage', 'the', 'whole', 'free', 'market', 'been', 'a', 'republican', 'talking', 'point', 'forever', 'whats', 'the', 'problem']","['government', 'already', 'wage', 'would', 'increasing', 'said', 'wage', 'whole', 'free', 'market', 'republican', 'talking', 'point', 'forever', 'whats', 'problem']"
32,2020BurnInHell,,But if had to anyone else shed have lost her at what point do we finally realize what is happening When someone in a hospital When its too late When do we open our Why is it so hard to accept it depending on the used,But if had to anyone else shed have lost her at what point do we finally realize what is happening When someone in a hospital When its too late When do we open our Why is it so hard to accept it depending on the used,"['but', 'if', 'had', 'to', 'anyone', 'else', 'shed', 'have', 'lost', 'her', 'at', 'what', 'point', 'do', 'we', 'finally', 'realize', 'what', 'is', 'happening', 'when', 'someone', 'in', 'a', 'hospital', 'when', 'its', 'too', 'late', 'when', 'do', 'we', 'open', 'our', 'why', 'is', 'it', 'so', 'hard', 'to', 'accept', 'it', 'depending', 'on', 'the', 'used']","['anyone', 'else', 'shed', 'lost', 'point', 'finally', 'realize', 'happening', 'someone', 'hospital', 'late', 'open', 'hard', 'accept', 'depending', 'used']"
33,ann_mabb,,DavidHamer1951 They certainly seem to be to the extreme right so whats your point So whats wrong with disliking the politics of hate,DavidHamer1951 They certainly seem to be to the extreme right so whats your point So whats wrong with disliking the politics of hate,"['davidhamer1951', 'they', 'certainly', 'seem', 'to', 'be', 'to', 'the', 'extreme', 'right', 'so', 'whats', 'your', 'point', 'so', 'whats', 'wrong', 'with', 'disliking', 'the', 'politics', 'of', 'hate']","['davidhamer1951', 'certainly', 'seem', 'extreme', 'right', 'whats', 'point', 'whats', 'wrong', 'disliking', 'politics', 'hate']"
34,itwasonaccident,,Whats the point of an Open House on if going to accept an offer on the house on,Whats the point of an Open House on if going to accept an offer on the house on,"['whats', 'the', 'point', 'of', 'an', 'open', 'house', 'on', 'if', 'going', 'to', 'accept', 'an', 'offer', 'on', 'the', 'house', 'on']","['whats', 'point', 'open', 'house', 'going', 'accept', 'offer', 'house']"
35,rosenexpectancy,,Joe8idet honest question whats the point of bait just to purposely be a dick,Joe8idet honest question whats the point of bait just to purposely be a dick,"['joe8idet', 'honest', 'question', 'whats', 'the', 'point', 'of', 'bait', 'just', 'to', 'purposely', 'be', 'a', 'dick']","['joe8idet', 'honest', 'question', 'whats', 'point', 'bait', 'purposely', 'dick']"
36,bemyself4jra,3/7• she/her• jra,fallin4wdw exactly its been since the beginning and its special whats the point in it,fallin4wdw exactly its been since the beginning and its special whats the point in it,"['fallin4wdw', 'exactly', 'its', 'been', 'since', 'the', 'beginning', 'and', 'its', 'special', 'whats', 'the', 'point', 'in', 'it']","['fallin4wdw', 'exactly', 'since', 'beginning', 'special', 'whats', 'point']"
37,stevenstonereal,bot run by @unboundings,What in the world is taking place there Theres no point here should provide I dont know what you intend to do but dont do anything reckless going to,What in the world is taking place there Theres no point here should provide I dont know what you intend to do but dont do anything reckless going to,"['what', 'in', 'the', 'world', 'is', 'taking', 'place', 'there', 'theres', 'no', 'point', 'here', 'should', 'provide', 'i', 'dont', 'know', 'what', 'you', 'intend', 'to', 'do', 'but', 'dont', 'do', 'anything', 'reckless', 'going', 'to']","['world', 'taking', 'place', 'theres', 'point', 'provide', 'dont', 'know', 'intend', 'dont', 'anything', 'reckless', 'going']"
38,TraciBrowder,"Mansfield, TX",to a teammate about this yesterday the mental state of Whats the breaking point for Will they reach out speak up before dont have to break There is help hope GritCrewEDU18002738255,to a teammate about this yesterday the mental state of Whats the breaking point for Will they reach out speak up before dont have to break There is help hope GritCrewEDU18002738255,"['to', 'a', 'teammate', 'about', 'this', 'yesterday', 'the', 'mental', 'state', 'of', 'whats', 'the', 'breaking', 'point', 'for', 'will', 'they', 'reach', 'out', 'speak', 'up', 'before', 'dont', 'have', 'to', 'break', 'there', 'is', 'help', 'hope', 'gritcrewedu18002738255']","['teammate', 'yesterday', 'mental', 'state', 'whats', 'breaking', 'point', 'reach', 'speak', 'dont', 'break', 'help', 'hope', 'gritcrewedu18002738255']"
39,General_Oluchi,Follow me and find out,EmmanuelMick6ix You havent my statement you are only upset that I it What is your point That you should marry out of pity By all go ahead Whats the issue here,EmmanuelMick6ix You havent my statement you are only upset that I it What is your point That you should marry out of pity By all go ahead Whats the issue here,"['emmanuelmick6ix', 'you', 'havent', 'my', 'statement', 'you', 'are', 'only', 'upset', 'that', 'i', 'it', 'what', 'is', 'your', 'point', 'that', 'you', 'should', 'marry', 'out', 'of', 'pity', 'by', 'all', 'go', 'ahead', 'whats', 'the', 'issue', 'here']","['emmanuelmick6ix', 'havent', 'statement', 'upset', 'point', 'marry', 'pity', 'go', 'ahead', 'whats', 'issue']"
40,eugen_gassmann,"Atlanta, GA",MarcoPo96711643 ItBegins2012 So whats your correlation the outlier or the rule,MarcoPo96711643 ItBegins2012 So whats your correlation the outlier or the rule,"['marcopo96711643', 'itbegins2012', 'so', 'whats', 'your', 'correlation', 'the', 'outlier', 'or', 'the', 'rule']","['marcopo96711643', 'itbegins2012', 'whats', 'correlation', 'outlier', 'rule']"
41,VincentGilsenan,Ye Olde Apothecary Shoppe,Not sure about this Not funny enough to stand on it own and if its not really about then whats the point,Not sure about this Not funny enough to stand on it own and if its not really about then whats the point,"['not', 'sure', 'about', 'this', 'not', 'funny', 'enough', 'to', 'stand', 'on', 'it', 'own', 'and', 'if', 'its', 'not', 'really', 'about', 'then', 'whats', 'the', 'point']","['sure', 'funny', 'enough', 'stand', 'really', 'whats', 'point']"
42,badalmadaiyar,,Its still showing black screen whats the point to pay extra them,Its still showing black screen whats the point to pay extra them,"['its', 'still', 'showing', 'black', 'screen', 'whats', 'the', 'point', 'to', 'pay', 'extra', 'them']","['still', 'showing', 'black', 'screen', 'whats', 'point', 'pay', 'extra']"
43,AdamBlackhat,"Cranston, RI",I live this Until I stop And then it didnt matter And never Nothing does Whats the point And now,I live this Until I stop And then it didnt matter And never Nothing does Whats the point And now,"['i', 'live', 'this', 'until', 'i', 'stop', 'and', 'then', 'it', 'didnt', 'matter', 'and', 'never', 'nothing', 'does', 'whats', 'the', 'point', 'and', 'now']","['live', 'stop', 'didnt', 'matter', 'never', 'nothing', 'whats', 'point']"
