,User,Location,Tweet,Tweet_clean,Tweet_token,Tweet_nonstop
1030,dmitry_avdeev,"London, England",Yep I would have opposed even if they life by 20 Because they are hell and such life is not worth living,Yep I would have opposed even if they life by Because they are hell and such life is not worth living,"['yep', 'i', 'would', 'have', 'opposed', 'even', 'if', 'they', 'life', 'by', 'because', 'they', 'are', 'hell', 'and', 'such', 'life', 'is', 'not', 'worth', 'living']","['yep', 'would', 'opposed', 'even', 'life', 'hell', 'life', 'worth', 'living']"
1031,hockeydoc_21,New Jersey,Does minimum wage being 15 make my pay seem Is that the fault of minimum wage who are just trying to get a living wage No the its not It every industry used the low minimum wage to not pay us a proper worth for our work,Does minimum wage being make my pay seem Is that the fault of minimum wage who are just trying to get a living wage No the its not It every industry used the low minimum wage to not pay us a proper worth for our work,"['does', 'minimum', 'wage', 'being', 'make', 'my', 'pay', 'seem', 'is', 'that', 'the', 'fault', 'of', 'minimum', 'wage', 'who', 'are', 'just', 'trying', 'to', 'get', 'a', 'living', 'wage', 'no', 'the', 'its', 'not', 'it', 'every', 'industry', 'used', 'the', 'low', 'minimum', 'wage', 'to', 'not', 'pay', 'us', 'a', 'proper', 'worth', 'for', 'our', 'work']","['minimum', 'wage', 'make', 'pay', 'seem', 'fault', 'minimum', 'wage', 'trying', 'get', 'living', 'wage', 'every', 'industry', 'used', 'low', 'minimum', 'wage', 'pay', 'us', 'proper', 'worth', 'work']"
1032,epicdemiologist,"Georgia, USA",Any work not worth a living wage can be done by the boss on their own time,Any work not worth a living wage can be done by the boss on their own time,"['any', 'work', 'not', 'worth', 'a', 'living', 'wage', 'can', 'be', 'done', 'by', 'the', 'boss', 'on', 'their', 'own', 'time']","['work', 'worth', 'living', 'wage', 'done', 'boss', 'time']"
1033,Nkubi7,Rwanda,If not doing the that you love then your life is not worth living What are you here for,If not doing the that you love then your life is not worth living What are you here for,"['if', 'not', 'doing', 'the', 'that', 'you', 'love', 'then', 'your', 'life', 'is', 'not', 'worth', 'living', 'what', 'are', 'you', 'here', 'for']","['love', 'life', 'worth', 'living']"
1034,Melvin226Melvin,,can be beautiful only if it can recognize its full worth is living in potential wealth but not able to recognize full wealth because of the division of what he or she look like More,can be beautiful only if it can recognize its full worth is living in potential wealth but not able to recognize full wealth because of the division of what he or she look like More,"['can', 'be', 'beautiful', 'only', 'if', 'it', 'can', 'recognize', 'its', 'full', 'worth', 'is', 'living', 'in', 'potential', 'wealth', 'but', 'not', 'able', 'to', 'recognize', 'full', 'wealth', 'because', 'of', 'the', 'division', 'of', 'what', 'he', 'or', 'she', 'look', 'like', 'more']","['beautiful', 'recognize', 'full', 'worth', 'living', 'potential', 'wealth', 'able', 'recognize', 'full', 'wealth', 'division', 'look', 'like']"
1035,virrde,,cdog1639 I dont think you actually read then It was meant to be a livable comfortable life Why do you think labor is not worth living Not a good look,cdog1639 I dont think you actually read then It was meant to be a livable comfortable life Why do you think labor is not worth living Not a good look,"['cdog1639', 'i', 'dont', 'think', 'you', 'actually', 'read', 'then', 'it', 'was', 'meant', 'to', 'be', 'a', 'livable', 'comfortable', 'life', 'why', 'do', 'you', 'think', 'labor', 'is', 'not', 'worth', 'living', 'not', 'a', 'good', 'look']","['cdog1639', 'dont', 'think', 'actually', 'read', 'meant', 'livable', 'comfortable', 'life', 'think', 'labor', 'worth', 'living', 'good', 'look']"
1036,Zahra_abbas_,,Life is not worth living without a to Bibi after her martyrdom,Life is not worth living without a to Bibi after her martyrdom,"['life', 'is', 'not', 'worth', 'living', 'without', 'a', 'to', 'bibi', 'after', 'her', 'martyrdom']","['life', 'worth', 'living', 'without', 'bibi', 'martyrdom']"
1037,Lifelandlady,citizen of the world,a full recovery but enough of one for life to be worth living again,a full recovery but enough of one for life to be worth living again,"['a', 'full', 'recovery', 'but', 'enough', 'of', 'one', 'for', 'life', 'to', 'be', 'worth', 'living', 'again']","['full', 'recovery', 'enough', 'one', 'life', 'worth', 'living']"
1038,greenbunny31,"Concord, NC",My niece just to Landed in with 14 day mandatory quarantine at hotel not of her choice Then to Now living life mask free 14 days for this outcome Worth every second,My niece just to Landed in with day mandatory quarantine at hotel not of her choice Then to Now living life mask free days for this outcome Worth every second,"['my', 'niece', 'just', 'to', 'landed', 'in', 'with', 'day', 'mandatory', 'quarantine', 'at', 'hotel', 'not', 'of', 'her', 'choice', 'then', 'to', 'now', 'living', 'life', 'mask', 'free', 'days', 'for', 'this', 'outcome', 'worth', 'every', 'second']","['niece', 'landed', 'day', 'mandatory', 'quarantine', 'hotel', 'choice', 'living', 'life', 'mask', 'free', 'days', 'outcome', 'worth', 'every', 'second']"
1039,FragileFern,"Boston, Massachusetts, USA",It was an to my when we in together He a broken record stop that Dont overdo it Finally had to have the hard talk with him if I dont ever push past my pain I would never leave a life not worth it all now,It was an to my when we in together He a broken record stop that Dont overdo it Finally had to have the hard talk with him if I dont ever push past my pain I would never leave a life not worth it all now,"['it', 'was', 'an', 'to', 'my', 'when', 'we', 'in', 'together', 'he', 'a', 'broken', 'record', 'stop', 'that', 'dont', 'overdo', 'it', 'finally', 'had', 'to', 'have', 'the', 'hard', 'talk', 'with', 'him', 'if', 'i', 'dont', 'ever', 'push', 'past', 'my', 'pain', 'i', 'would', 'never', 'leave', 'a', 'life', 'not', 'worth', 'it', 'all', 'now']","['together', 'broken', 'record', 'stop', 'dont', 'overdo', 'finally', 'hard', 'talk', 'dont', 'ever', 'push', 'past', 'pain', 'would', 'never', 'leave', 'life', 'worth']"
1040,Sanjayz1995,India,The unexamined life is not worth,The unexamined life is not worth,"['the', 'unexamined', 'life', 'is', 'not', 'worth']","['unexamined', 'life', 'worth']"
1041,John21_17,,everforjoy01 Without happiness life is not worth living,everforjoy01 Without happiness life is not worth living,"['everforjoy01', 'without', 'happiness', 'life', 'is', 'not', 'worth', 'living']","['everforjoy01', 'without', 'happiness', 'life', 'worth', 'living']"
1042,PeteFinnyfnar,,any talk of continued need to stop For the first time since I was 16 I stayed in bed past today Could not see much reason to get up a life is hugely important to make it worth living,any talk of continued need to stop For the first time since I was I stayed in bed past today Could not see much reason to get up a life is hugely important to make it worth living,"['any', 'talk', 'of', 'continued', 'need', 'to', 'stop', 'for', 'the', 'first', 'time', 'since', 'i', 'was', 'i', 'stayed', 'in', 'bed', 'past', 'today', 'could', 'not', 'see', 'much', 'reason', 'to', 'get', 'up', 'a', 'life', 'is', 'hugely', 'important', 'to', 'make', 'it', 'worth', 'living']","['talk', 'continued', 'need', 'stop', 'first', 'time', 'since', 'stayed', 'bed', 'past', 'today', 'could', 'see', 'much', 'reason', 'get', 'life', 'hugely', 'important', 'make', 'worth', 'living']"
1043,SmitaSh36479171,India,The unexamined life is not worth living,The unexamined life is not worth living,"['the', 'unexamined', 'life', 'is', 'not', 'worth', 'living']","['unexamined', 'life', 'worth', 'living']"
1044,piyushlololol,,Life certainly is meaningless but we have to make it worth living is not an option life depression,Life certainly is meaningless but we have to make it worth living is not an option life depression,"['life', 'certainly', 'is', 'meaningless', 'but', 'we', 'have', 'to', 'make', 'it', 'worth', 'living', 'is', 'not', 'an', 'option', 'life', 'depression']","['life', 'certainly', 'meaningless', 'make', 'worth', 'living', 'option', 'life', 'depression']"
1045,WesWyleven,"Hell, MI",You know I am GLAD our Republic was DEFINITELY NOT and our election process is DEFINITELY NOT a complete sham media media are be almost worth DEFINITELY NOT living in a soon to be hellhole,You know I am GLAD our Republic was DEFINITELY NOT and our election process is DEFINITELY NOT a complete sham media media are be almost worth DEFINITELY NOT living in a soon to be hellhole,"['you', 'know', 'i', 'am', 'glad', 'our', 'republic', 'was', 'definitely', 'not', 'and', 'our', 'election', 'process', 'is', 'definitely', 'not', 'a', 'complete', 'sham', 'media', 'media', 'are', 'be', 'almost', 'worth', 'definitely', 'not', 'living', 'in', 'a', 'soon', 'to', 'be', 'hellhole']","['know', 'glad', 'republic', 'definitely', 'election', 'process', 'definitely', 'complete', 'sham', 'media', 'media', 'almost', 'worth', 'definitely', 'living', 'soon', 'hellhole']"
1046,harlickjen,"Halifax, Nova Scotia",CarterIsGood1 True I shouldnt have said living wage A reasonable wage for the work and for the level of education is more what i meant I have 3 total of 8 of University and do not consider the wages i made as a teacher worth it by any,CarterIsGood1 True I shouldnt have said living wage A reasonable wage for the work and for the level of education is more what i meant I have total of of University and do not consider the wages i made as a teacher worth it by any,"['carterisgood1', 'true', 'i', 'shouldnt', 'have', 'said', 'living', 'wage', 'a', 'reasonable', 'wage', 'for', 'the', 'work', 'and', 'for', 'the', 'level', 'of', 'education', 'is', 'more', 'what', 'i', 'meant', 'i', 'have', 'total', 'of', 'of', 'university', 'and', 'do', 'not', 'consider', 'the', 'wages', 'i', 'made', 'as', 'a', 'teacher', 'worth', 'it', 'by', 'any']","['carterisgood1', 'true', 'shouldnt', 'said', 'living', 'wage', 'reasonable', 'wage', 'work', 'level', 'education', 'meant', 'total', 'university', 'consider', 'wages', 'made', 'teacher', 'worth']"
1047,LDhayeema02,,An unexamined life is not worth,An unexamined life is not worth,"['an', 'unexamined', 'life', 'is', 'not', 'worth']","['unexamined', 'life', 'worth']"
1048,myghatter,Genius Lab/Long Pond,Sadness is the price we pay for love Pain is the price we pay for love and that the only way not to feel pain is to never feel love but thats not a life worth living,Sadness is the price we pay for love Pain is the price we pay for love and that the only way not to feel pain is to never feel love but thats not a life worth living,"['sadness', 'is', 'the', 'price', 'we', 'pay', 'for', 'love', 'pain', 'is', 'the', 'price', 'we', 'pay', 'for', 'love', 'and', 'that', 'the', 'only', 'way', 'not', 'to', 'feel', 'pain', 'is', 'to', 'never', 'feel', 'love', 'but', 'thats', 'not', 'a', 'life', 'worth', 'living']","['sadness', 'price', 'pay', 'love', 'pain', 'price', 'pay', 'love', 'way', 'feel', 'pain', 'never', 'feel', 'love', 'thats', 'life', 'worth', 'living']"
1049,BornMicah,United Kingdom,I ran a few 5ks recently thought I was amazing ran a 10k and now cant walk as my are shot to Still not sure healthy living is worth it,I ran a few ks recently thought I was amazing ran a k and now cant walk as my are shot to Still not sure healthy living is worth it,"['i', 'ran', 'a', 'few', 'ks', 'recently', 'thought', 'i', 'was', 'amazing', 'ran', 'a', 'k', 'and', 'now', 'cant', 'walk', 'as', 'my', 'are', 'shot', 'to', 'still', 'not', 'sure', 'healthy', 'living', 'is', 'worth', 'it']","['ran', 'ks', 'recently', 'thought', 'amazing', 'ran', 'k', 'cant', 'walk', 'shot', 'still', 'sure', 'healthy', 'living', 'worth']"
1050,thewizpalace,,AndrewG31478162 Like that number would be WAY different anywhere that the cost of living is so high 2000 wont produce any usable data to convince that UBI is worth it Its not strong enough policy,AndrewG31478162 Like that number would be WAY different anywhere that the cost of living is so high wont produce any usable data to convince that UBI is worth it Its not strong enough policy,"['andrewg31478162', 'like', 'that', 'number', 'would', 'be', 'way', 'different', 'anywhere', 'that', 'the', 'cost', 'of', 'living', 'is', 'so', 'high', 'wont', 'produce', 'any', 'usable', 'data', 'to', 'convince', 'that', 'ubi', 'is', 'worth', 'it', 'its', 'not', 'strong', 'enough', 'policy']","['andrewg31478162', 'like', 'number', 'would', 'way', 'different', 'anywhere', 'cost', 'living', 'high', 'wont', 'produce', 'usable', 'data', 'convince', 'ubi', 'worth', 'strong', 'enough', 'policy']"
1051,PiyushNautiya13,,An unexamined life is not worth,An unexamined life is not worth,"['an', 'unexamined', 'life', 'is', 'not', 'worth']","['unexamined', 'life', 'worth']"
1052,mangos_guavas,Omaha,Why people with 4yr make less than the living wage That doesnt make sense People go to school so the can have a better living so the question is why are they being less Why not their worth exploit thats why theres,Why people with yr make less than the living wage That doesnt make sense People go to school so the can have a better living so the question is why are they being less Why not their worth exploit thats why theres,"['why', 'people', 'with', 'yr', 'make', 'less', 'than', 'the', 'living', 'wage', 'that', 'doesnt', 'make', 'sense', 'people', 'go', 'to', 'school', 'so', 'the', 'can', 'have', 'a', 'better', 'living', 'so', 'the', 'question', 'is', 'why', 'are', 'they', 'being', 'less', 'why', 'not', 'their', 'worth', 'exploit', 'thats', 'why', 'theres']","['people', 'yr', 'make', 'less', 'living', 'wage', 'doesnt', 'make', 'sense', 'people', 'go', 'school', 'better', 'living', 'question', 'less', 'worth', 'exploit', 'thats', 'theres']"
1053,novembr_girl,Alone in A World Full of ppl.,So anyone out there feeling like giving up Please dont I love you and you need to love yourself too you need to survive for yourself not easy nobody what youve been through but its worth Living For,So anyone out there feeling like giving up Please dont I love you and you need to love yourself too you need to survive for yourself not easy nobody what youve been through but its worth Living For,"['so', 'anyone', 'out', 'there', 'feeling', 'like', 'giving', 'up', 'please', 'dont', 'i', 'love', 'you', 'and', 'you', 'need', 'to', 'love', 'yourself', 'too', 'you', 'need', 'to', 'survive', 'for', 'yourself', 'not', 'easy', 'nobody', 'what', 'youve', 'been', 'through', 'but', 'its', 'worth', 'living', 'for']","['anyone', 'feeling', 'like', 'giving', 'please', 'dont', 'love', 'need', 'love', 'need', 'survive', 'easy', 'nobody', 'youve', 'worth', 'living']"
1054,artimusfoul,Dublin.,In fact the significant media criticism of the GRA in 2019 When Graham Its worth pointing out that when went looking for a critic of the GRA in 2019 they had to approach a man living in the not an feminist group,In fact the significant media criticism of the GRA in When Graham Its worth pointing out that when went looking for a critic of the GRA in they had to approach a man living in the not an feminist group,"['in', 'fact', 'the', 'significant', 'media', 'criticism', 'of', 'the', 'gra', 'in', 'when', 'graham', 'its', 'worth', 'pointing', 'out', 'that', 'when', 'went', 'looking', 'for', 'a', 'critic', 'of', 'the', 'gra', 'in', 'they', 'had', 'to', 'approach', 'a', 'man', 'living', 'in', 'the', 'not', 'an', 'feminist', 'group']","['fact', 'significant', 'media', 'criticism', 'gra', 'graham', 'worth', 'pointing', 'went', 'looking', 'critic', 'gra', 'approach', 'man', 'living', 'feminist', 'group']"
1055,azmathussynbhat,Srinagar J&K,Life is not worth Living without you Imam at the grave of,Life is not worth Living without you Imam at the grave of,"['life', 'is', 'not', 'worth', 'living', 'without', 'you', 'imam', 'at', 'the', 'grave', 'of']","['life', 'worth', 'living', 'without', 'imam', 'grave']"
1056,radicaleyesme,,nolongerstr8grl tr0picg0d clearly living in some sort of weird utopian reality where are and simply would pay work what its worth without government making them act right its not reality Business is all about the bottom line,nolongerstr8grl tr0picg0d clearly living in some sort of weird utopian reality where are and simply would pay work what its worth without government making them act right its not reality Business is all about the bottom line,"['nolongerstr8grl', 'tr0picg0d', 'clearly', 'living', 'in', 'some', 'sort', 'of', 'weird', 'utopian', 'reality', 'where', 'are', 'and', 'simply', 'would', 'pay', 'work', 'what', 'its', 'worth', 'without', 'government', 'making', 'them', 'act', 'right', 'its', 'not', 'reality', 'business', 'is', 'all', 'about', 'the', 'bottom', 'line']","['nolongerstr8grl', 'tr0picg0d', 'clearly', 'living', 'sort', 'weird', 'utopian', 'reality', 'simply', 'would', 'pay', 'work', 'worth', 'without', 'government', 'making', 'act', 'right', 'reality', 'business', 'bottom', 'line']"
1057,DezEbuwa,D&D Ranch,If you are a small business and the work you need done is not worth a living wage maybe you should do it yourself until it becomes important enough to pay someone What is the point of working for a salary you cant live off of,If you are a small business and the work you need done is not worth a living wage maybe you should do it yourself until it becomes important enough to pay someone What is the point of working for a salary you cant live off of,"['if', 'you', 'are', 'a', 'small', 'business', 'and', 'the', 'work', 'you', 'need', 'done', 'is', 'not', 'worth', 'a', 'living', 'wage', 'maybe', 'you', 'should', 'do', 'it', 'yourself', 'until', 'it', 'becomes', 'important', 'enough', 'to', 'pay', 'someone', 'what', 'is', 'the', 'point', 'of', 'working', 'for', 'a', 'salary', 'you', 'cant', 'live', 'off', 'of']","['small', 'business', 'work', 'need', 'done', 'worth', 'living', 'wage', 'maybe', 'becomes', 'important', 'enough', 'pay', 'someone', 'point', 'working', 'salary', 'cant', 'live']"
1058,rrandolph4105,,You dont deserve a living wage because barely get a living wage is not a valid argument it just out how broken our system is that dont get their worth,You dont deserve a living wage because barely get a living wage is not a valid argument it just out how broken our system is that dont get their worth,"['you', 'dont', 'deserve', 'a', 'living', 'wage', 'because', 'barely', 'get', 'a', 'living', 'wage', 'is', 'not', 'a', 'valid', 'argument', 'it', 'just', 'out', 'how', 'broken', 'our', 'system', 'is', 'that', 'dont', 'get', 'their', 'worth']","['dont', 'deserve', 'living', 'wage', 'barely', 'get', 'living', 'wage', 'valid', 'argument', 'broken', 'system', 'dont', 'get', 'worth']"
1059,Himanshee04,भारत,NATION unexamined life is not worth,NATION unexamined life is not worth,"['nation', 'unexamined', 'life', 'is', 'not', 'worth']","['nation', 'unexamined', 'life', 'worth']"
1060,loquacious334,West of Ireland,It is the useless that make life worth living and that make life dangerous too wine love art beauty Without them life is safe but not worth with Fry,It is the useless that make life worth living and that make life dangerous too wine love art beauty Without them life is safe but not worth with Fry,"['it', 'is', 'the', 'useless', 'that', 'make', 'life', 'worth', 'living', 'and', 'that', 'make', 'life', 'dangerous', 'too', 'wine', 'love', 'art', 'beauty', 'without', 'them', 'life', 'is', 'safe', 'but', 'not', 'worth', 'with', 'fry']","['useless', 'make', 'life', 'worth', 'living', 'make', 'life', 'dangerous', 'wine', 'love', 'art', 'beauty', 'without', 'life', 'safe', 'worth', 'fry']"
1061,NJsRamblings,,less painful He was a soul I wished that I had the time to get to know more get to know better But life doesnt work that way Today we are here Tomorrow we may not be Life may definitely suck but there are that make living worth it,less painful He was a soul I wished that I had the time to get to know more get to know better But life doesnt work that way Today we are here Tomorrow we may not be Life may definitely suck but there are that make living worth it,"['less', 'painful', 'he', 'was', 'a', 'soul', 'i', 'wished', 'that', 'i', 'had', 'the', 'time', 'to', 'get', 'to', 'know', 'more', 'get', 'to', 'know', 'better', 'but', 'life', 'doesnt', 'work', 'that', 'way', 'today', 'we', 'are', 'here', 'tomorrow', 'we', 'may', 'not', 'be', 'life', 'may', 'definitely', 'suck', 'but', 'there', 'are', 'that', 'make', 'living', 'worth', 'it']","['less', 'painful', 'soul', 'wished', 'time', 'get', 'know', 'get', 'know', 'better', 'life', 'doesnt', 'work', 'way', 'today', 'tomorrow', 'may', 'life', 'may', 'definitely', 'suck', 'make', 'living', 'worth']"
1062,rickalomiasore,"Manila, Philippines",Provincial rate is a trap Living in the province does not reduce your worth as a,Provincial rate is a trap Living in the province does not reduce your worth as a,"['provincial', 'rate', 'is', 'a', 'trap', 'living', 'in', 'the', 'province', 'does', 'not', 'reduce', 'your', 'worth', 'as', 'a']","['provincial', 'rate', 'trap', 'living', 'province', 'reduce', 'worth']"
1063,Kenyaa_Mzee,South Africa,who needs to hear this but Please stop yourself to be rich before 30 Please stop yourself to be rich in general Especially in this economy Please be gentle with yourself The soft life is not the only life worth living dear,who needs to hear this but Please stop yourself to be rich before Please stop yourself to be rich in general Especially in this economy Please be gentle with yourself The soft life is not the only life worth living dear,"['who', 'needs', 'to', 'hear', 'this', 'but', 'please', 'stop', 'yourself', 'to', 'be', 'rich', 'before', 'please', 'stop', 'yourself', 'to', 'be', 'rich', 'in', 'general', 'especially', 'in', 'this', 'economy', 'please', 'be', 'gentle', 'with', 'yourself', 'the', 'soft', 'life', 'is', 'not', 'the', 'only', 'life', 'worth', 'living', 'dear']","['needs', 'hear', 'please', 'stop', 'rich', 'please', 'stop', 'rich', 'general', 'especially', 'economy', 'please', 'gentle', 'soft', 'life', 'life', 'worth', 'living', 'dear']"
1064,CJVAPES,Apocalypse World,louwilliams99 Glad still here I had what I thought was a hopeless situation ago in my case it was drug abuse but I to get through it are much better and I know life is worth living not alone The world needs you and better times will come,louwilliams99 Glad still here I had what I thought was a hopeless situation ago in my case it was drug abuse but I to get through it are much better and I know life is worth living not alone The world needs you and better times will come,"['louwilliams99', 'glad', 'still', 'here', 'i', 'had', 'what', 'i', 'thought', 'was', 'a', 'hopeless', 'situation', 'ago', 'in', 'my', 'case', 'it', 'was', 'drug', 'abuse', 'but', 'i', 'to', 'get', 'through', 'it', 'are', 'much', 'better', 'and', 'i', 'know', 'life', 'is', 'worth', 'living', 'not', 'alone', 'the', 'world', 'needs', 'you', 'and', 'better', 'times', 'will', 'come']","['louwilliams99', 'glad', 'still', 'thought', 'hopeless', 'situation', 'ago', 'case', 'drug', 'abuse', 'get', 'much', 'better', 'know', 'life', 'worth', 'living', 'alone', 'world', 'needs', 'better', 'times', 'come']"
1065,TheVanderWal,Nanjing,got plenty of living on And they wont come off till they are retired Just not worth and they serve their purpose even if people need to wait an extra 3,got plenty of living on And they wont come off till they are retired Just not worth and they serve their purpose even if people need to wait an extra,"['got', 'plenty', 'of', 'living', 'on', 'and', 'they', 'wont', 'come', 'off', 'till', 'they', 'are', 'retired', 'just', 'not', 'worth', 'and', 'they', 'serve', 'their', 'purpose', 'even', 'if', 'people', 'need', 'to', 'wait', 'an', 'extra']","['got', 'plenty', 'living', 'wont', 'come', 'till', 'retired', 'worth', 'serve', 'purpose', 'even', 'people', 'need', 'wait', 'extra']"
1066,NickCorcoran1,,Such sad My also to Miss She linked to St St Anyone have a history of M Sometimes I feel life is not worth living for,Such sad My also to Miss She linked to St St Anyone have a history of M Sometimes I feel life is not worth living for,"['such', 'sad', 'my', 'also', 'to', 'miss', 'she', 'linked', 'to', 'st', 'st', 'anyone', 'have', 'a', 'history', 'of', 'm', 'sometimes', 'i', 'feel', 'life', 'is', 'not', 'worth', 'living', 'for']","['sad', 'also', 'miss', 'linked', 'st', 'st', 'anyone', 'history', 'sometimes', 'feel', 'life', 'worth', 'living']"
1067,StormCr55097020,,Monkey is supposed to stick a finger in an for a living Money not to program Monkey not a Monkey must stay in torture Monkey worth Monkey not happy Monkey must be covered in for life Monkey not worth the same as a human,Monkey is supposed to stick a finger in an for a living Money not to program Monkey not a Monkey must stay in torture Monkey worth Monkey not happy Monkey must be covered in for life Monkey not worth the same as a human,"['monkey', 'is', 'supposed', 'to', 'stick', 'a', 'finger', 'in', 'an', 'for', 'a', 'living', 'money', 'not', 'to', 'program', 'monkey', 'not', 'a', 'monkey', 'must', 'stay', 'in', 'torture', 'monkey', 'worth', 'monkey', 'not', 'happy', 'monkey', 'must', 'be', 'covered', 'in', 'for', 'life', 'monkey', 'not', 'worth', 'the', 'same', 'as', 'a', 'human']","['monkey', 'supposed', 'stick', 'finger', 'living', 'money', 'program', 'monkey', 'monkey', 'must', 'stay', 'torture', 'monkey', 'worth', 'monkey', 'happy', 'monkey', 'must', 'covered', 'life', 'monkey', 'worth', 'human']"
1068,KYGentleman31,God's Country,An interesting fact The used mental health nursing as killing to rid themselves of the people that they not worth living in the 1930s before they built the concentration familiar Covid19,An interesting fact The used mental health nursing as killing to rid themselves of the people that they not worth living in the s before they built the concentration familiar Covid19,"['an', 'interesting', 'fact', 'the', 'used', 'mental', 'health', 'nursing', 'as', 'killing', 'to', 'rid', 'themselves', 'of', 'the', 'people', 'that', 'they', 'not', 'worth', 'living', 'in', 'the', 's', 'before', 'they', 'built', 'the', 'concentration', 'familiar', 'covid19']","['interesting', 'fact', 'used', 'mental', 'health', 'nursing', 'killing', 'rid', 'people', 'worth', 'living', 'built', 'concentration', 'familiar', 'covid19']"
1069,emmy_dasher,"Lagos, Nigeria",DrewIG3 jazzman0056 I came to my country and happy to be back because your country is not worth living I travelled and saw life have U left Can U survive life being there I bet you havent left so you dont know what civilization like and will look like even if it comes to,DrewIG3 jazzman0056 I came to my country and happy to be back because your country is not worth living I travelled and saw life have U left Can U survive life being there I bet you havent left so you dont know what civilization like and will look like even if it comes to,"['drewig3', 'jazzman0056', 'i', 'came', 'to', 'my', 'country', 'and', 'happy', 'to', 'be', 'back', 'because', 'your', 'country', 'is', 'not', 'worth', 'living', 'i', 'travelled', 'and', 'saw', 'life', 'have', 'u', 'left', 'can', 'u', 'survive', 'life', 'being', 'there', 'i', 'bet', 'you', 'havent', 'left', 'so', 'you', 'dont', 'know', 'what', 'civilization', 'like', 'and', 'will', 'look', 'like', 'even', 'if', 'it', 'comes', 'to']","['drewig3', 'jazzman0056', 'came', 'country', 'happy', 'back', 'country', 'worth', 'living', 'travelled', 'saw', 'life', 'u', 'left', 'u', 'survive', 'life', 'bet', 'havent', 'left', 'dont', 'know', 'civilization', 'like', 'look', 'like', 'even', 'comes']"
1070,wighairseller,"Lagos, Nigeria",A life without happiness might not feel worth living You should try it too you live a less boring life,A life without happiness might not feel worth living You should try it too you live a less boring life,"['a', 'life', 'without', 'happiness', 'might', 'not', 'feel', 'worth', 'living', 'you', 'should', 'try', 'it', 'too', 'you', 'live', 'a', 'less', 'boring', 'life']","['life', 'without', 'happiness', 'might', 'feel', 'worth', 'living', 'try', 'live', 'less', 'boring', 'life']"
1071,CREWTIGER,UK,The last man standing Ill say it again any system that you to choose between the health and safety of its and the economy is a system not worth living in We need something else,The last man standing Ill say it again any system that you to choose between the health and safety of its and the economy is a system not worth living in We need something else,"['the', 'last', 'man', 'standing', 'ill', 'say', 'it', 'again', 'any', 'system', 'that', 'you', 'to', 'choose', 'between', 'the', 'health', 'and', 'safety', 'of', 'its', 'and', 'the', 'economy', 'is', 'a', 'system', 'not', 'worth', 'living', 'in', 'we', 'need', 'something', 'else']","['last', 'man', 'standing', 'ill', 'say', 'system', 'choose', 'health', 'safety', 'economy', 'system', 'worth', 'living', 'need', 'something', 'else']"
1072,Mia_Cherry_,"Eastbourne, England",Millions are spend on suicide prevention you need to start thinking way before people get low enough to think their life is not worth living,Millions are spend on suicide prevention you need to start thinking way before people get low enough to think their life is not worth living,"['millions', 'are', 'spend', 'on', 'suicide', 'prevention', 'you', 'need', 'to', 'start', 'thinking', 'way', 'before', 'people', 'get', 'low', 'enough', 'to', 'think', 'their', 'life', 'is', 'not', 'worth', 'living']","['millions', 'spend', 'suicide', 'prevention', 'need', 'start', 'thinking', 'way', 'people', 'get', 'low', 'enough', 'think', 'life', 'worth', 'living']"
1073,ECOWARRIORSS,,Are you Burning millions of worth of carbon of gas oil coal in just over 200 is not going to heat up the climate What planet are you living on,Are you Burning millions of worth of carbon of gas oil coal in just over is not going to heat up the climate What planet are you living on,"['are', 'you', 'burning', 'millions', 'of', 'worth', 'of', 'carbon', 'of', 'gas', 'oil', 'coal', 'in', 'just', 'over', 'is', 'not', 'going', 'to', 'heat', 'up', 'the', 'climate', 'what', 'planet', 'are', 'you', 'living', 'on']","['burning', 'millions', 'worth', 'carbon', 'gas', 'oil', 'coal', 'going', 'heat', 'climate', 'planet', 'living']"
1074,DeezSlaw,,So your mother and you both deserve to grow up in poverty because someone decided that if you cant go to college not worth living a life of dignity and are you fighting so hard to carry water for the people with their boot on your neck,So your mother and you both deserve to grow up in poverty because someone decided that if you cant go to college not worth living a life of dignity and are you fighting so hard to carry water for the people with their boot on your neck,"['so', 'your', 'mother', 'and', 'you', 'both', 'deserve', 'to', 'grow', 'up', 'in', 'poverty', 'because', 'someone', 'decided', 'that', 'if', 'you', 'cant', 'go', 'to', 'college', 'not', 'worth', 'living', 'a', 'life', 'of', 'dignity', 'and', 'are', 'you', 'fighting', 'so', 'hard', 'to', 'carry', 'water', 'for', 'the', 'people', 'with', 'their', 'boot', 'on', 'your', 'neck']","['mother', 'deserve', 'grow', 'poverty', 'someone', 'decided', 'cant', 'go', 'college', 'worth', 'living', 'life', 'dignity', 'fighting', 'hard', 'carry', 'water', 'people', 'boot', 'neck']"
1075,KIERRRAB,,It so wrong but i let go holding on to nothing You and the are not worth it But hey keep living life,It so wrong but i let go holding on to nothing You and the are not worth it But hey keep living life,"['it', 'so', 'wrong', 'but', 'i', 'let', 'go', 'holding', 'on', 'to', 'nothing', 'you', 'and', 'the', 'are', 'not', 'worth', 'it', 'but', 'hey', 'keep', 'living', 'life']","['wrong', 'let', 'go', 'holding', 'nothing', 'worth', 'hey', 'keep', 'living', 'life']"
